

epa_id,year,gen_count,gen_tons,trans_count,trans_tons,tsdf_count,tsdf_tons
CAC003276175,2024,1,2.5284,0,0,0,0
CAC003275172,2024,2,26.9696,0,0,0,0
CA0000006007,2023,3,3.7,0,0,0,0
CA0000006007,2015,3,18.907,0,0,0,0
CAC003275674,2024,1,2.5284,0,0,0,0
CA9180090574,2024,1,0.15,0,0,0,0
CA9180090574,2020,1,0.0025,0,0,0,0
CA9180090574,2019,2,0.275,0,0,0,0
CA9180090574,2018,1,0.005,0,0,0,0
CA9180090574,2016,2,0.43836,0,0,0,0
CA9180090574,2013,1,0.15,0,0,0,0
CA9180090574,2007,1,0.209,0,0,0,0
CA9180090574,2006,2,0.41936,0,0,0,0
CA9180090574,2000,5,0.084,0,0,0,0
CA9180090574,1999,7,0.1176,0,0,0,0
CA9180090574,1998,4,0.0648,0,0,0,0
CA9180090574,1997,2,1.86849,0,0,0,0
CA9180090574,1996,1,0.629,0,0,0,0
CA9180090574,1995,2,0.0144,0,0,0,0
CA9180090574,1994,1,0.595,0,0,0,0
CAC003275173,2024,1,1.6856,0,0,0,0
CA0000008086,2024,16,7.1678,0,0,0,0
CA0000008086,2023,20,7.0305,0,0,0,0
CA0000008086,2022,17,6.3835,0,0,0,0
CA0000008086,2021,17,6.3915,0,0,0,0
CA0000008086,2020,4,0.975,0,0,0,0
CA0000008086,2019,20,7.8435,0,0,0,0
CA0000008086,2018,22,9.041,0,0,0,0
CA0000008086,2017,13,5.705,0,0,0,0
CA0000008086,2016,7,2.905,0,0,0,0
CA0000008086,2015,5,1.644,0,0,0,0
CA0000008086,2014,8,1.54792,0,0,0,0
CA0000008086,2013,2,0.4751,0,0,0,0
CA0000008086,2012,3,6.92233,0,0,0,0
CA0000008086,2011,1,0.2,0,0,0,0
CA0000008086,2010,7,4.2137,0,0,0,0
CA0000008086,2004,1,11.6764,0,0,0,0
CA0000008086,2003,1,9.59133,0,0,0,0
CA0000008086,2002,1,9.59133,0,0,0,0
CA0000008086,2000,15,15.4728,0,0,0,0
CA0000008086,1999,24,26.14323,0,0,0,0
